TimeCreated,EventID,Computer,TargetUserName,IpAddress,LogonType
2026-06-10 08:17:07.902241+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:07.907549+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:07.926447+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:07.931274+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:07.936102+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:18.271395+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:18.274288+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:18.275776+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:18.283825+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:18.285147+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:18.286312+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:28.334152+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:28.338165+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:28.339874+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:28.346445+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:28.347536+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:28.348515+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:41.980844+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:41.984699+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:41.986000+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:41.992001+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:41.993057+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:41.994265+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:47.106155+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:47.112679+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:47.117254+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:17:47.137165+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:17:47.141790+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:17:47.145844+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:18:04.667606+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:18:04.670517+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:18:04.671640+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:18:04.677423+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:18:04.678707+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:18:04.679882+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:18:41.421837+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:18:41.424160+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:18:41.425619+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:18:41.433380+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:18:41.435099+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:18:41.436375+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:02.238663+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:02.240770+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:02.241821+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:02.247150+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:02.248207+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:02.249243+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:04.654594+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:04.657431+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:04.658562+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:04.663563+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:04.664766+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:04.665810+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:05.313482+00:00,4624,DESKTOP-79HF06N,SYSTEM,-,5
2026-06-10 08:19:05.313517+00:00,4672,DESKTOP-79HF06N,,,
2026-06-10 08:19:07.925041+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:07.928566+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:07.930231+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:07.943613+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:07.948349+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:07.949854+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:18.357410+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:18.362228+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:18.368229+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:18.378725+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:18.381611+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:18.384602+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:28.347397+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:28.349905+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:28.355000+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:28.362104+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:28.363226+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:28.364487+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:41.892815+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:41.895084+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:41.896317+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:41.901262+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:41.902342+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:41.903357+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:47.105755+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:47.107655+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:47.108608+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:19:47.113274+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:19:47.114298+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:19:47.115499+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:20:04.692472+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:20:04.694590+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:20:04.696205+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:20:04.702677+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:20:04.703932+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:20:04.704947+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:20:25.080870+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:20:25.082832+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:20:25.083881+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:20:25.090187+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:20:25.091160+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:20:25.092196+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:20:41.908978+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:20:41.911020+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:20:41.912092+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:20:41.917135+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:20:41.918060+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:20:41.918951+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:04.691467+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:04.694059+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:04.695656+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:04.700447+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:04.701406+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:04.702351+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:08.038643+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:08.042868+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:08.044386+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:08.052517+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:08.061991+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:08.065853+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:18.381912+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:18.387239+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:18.389801+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:18.401943+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:18.403452+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:18.404783+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:28.375332+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:28.377316+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
2026-06-10 08:21:28.378305+00:00,4798,DESKTOP-79HF06N,estudiante,,
2026-06-10 08:21:28.382929+00:00,4798,DESKTOP-79HF06N,Administrador,,
2026-06-10 08:21:28.383896+00:00,4798,DESKTOP-79HF06N,DefaultAccount,,
